Product Name,Price,Description,Rating,RAM_GB,ROM_GB,Screen_cm,Rear_Camera_MP,Front_Camera_MP,Battery_mAh,Is_5G,Price_INR,Brand
"Motorola G32 (Satin Maroon, 128 GB)","₹18,999",8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) Full HD+ Display50MP + 8MP + 2MP | 16MP Front Camera5000 mAh Lithium Polymer BatteryQualcomm Snapdragon 680 Processor1 Year on Handset and 6 Months on Accessories,4.3,8.0,128.0,16.51,46.4,16.0,5000.0,0.0,18999.0,Motorola
"LAVA Yuva 3PRO DS with Premium Glass Back Design|5000 mAh Battery|Expandable Upto 1TB (DESERT GOLD, 12...","₹8,498",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryUnisoc Tiger T616 (12 nm) Processor1 Year Handset Domestic Warranty and 6 Months Warranty on Accessories,4.0,8.0,128.0,16.51,39.0,8.0,5000.0,0.0,8498.0,LAVA
"LAVA Bold N1 5G (Royal Blue, 128 GB)","₹9,295",4 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display13MP Rear Camera5000 mAh Battery1 Year Handset Warranty and 6 Months Warranty on Accessories,3.0,4.0,128.0,17.02,13.0,8.0,5000.0,0.0,9295.0,LAVA
"REDMI 10 (Caribbean Green, 64 GB)","₹9,490",4 GB RAM | 64 GB ROM17.04 cm (6.71 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.3,4.0,64.0,17.04,50.0,8.0,6000.0,0.0,9490.0,Redmi
"REDMI 12 (Pastel Blue, 128 GB)","₹9,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,5.0,4.0,128.0,17.25,43.4,8.0,5000.0,0.0,9499.0,Redmi
"REDMI 12C (Lavender Purple, 64 GB)","₹7,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,5.0,4.0,64.0,17.04,50.0,5.0,5000.0,0.0,7499.0,Redmi
"MOTOROLA G04 (Sunrise Orange, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display16MP Rear Camera | 5MP Front Camera5000 mAh BatteryUnisoc T606 Processor1 Year on Handset and 6 Months on Accessories,4.3,4.0,64.0,16.76,16.0,5.0,5000.0,0.0,9999.0,Motorola
"Infinix SMART 8 (Shiny Gold, 128 GB)","₹8,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year on Handset and 6 Months on Accessories,4.3,8.0,128.0,16.76,52.8,8.0,5000.0,0.0,8999.0,Infinix
"realme C65 5G (Feather Green, 64 GB)","₹10,499",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3,4.0,64.0,16.94,50.0,8.0,5000.0,0.0,10499.0,realme
"REDMI A2 (Sea Green, 64 GB)","₹9,999",2 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,2.0,64.0,16.56,8.0,5.0,5000.0,0.0,9999.0,Redmi
